Title,Location,Price,Area
Apartment Van Spilbergenstraat 23 1,            1057 PW Amsterdam (Hoofdweg e.o.)        ,"                €1,550 per month            ",48 m²
Studio Berlijnplein,            3541 CM Utrecht (Leidsche Rijn-Centrum)        ,                €633 per month            ,30 m²
Apartment Tugelaweg,            1092 VC Amsterdam (Transvaalbuurt)        ,"                €2,000 per month            ",76 m²
Apartment Kleine Gracht 6 F,            6211 CB Maastricht (Boschstraatkwartier)        ,                €995 per month            ,64 m²
Apartment Raamsingel 36,            2012 DV Haarlem (Koninginnebuurt)        ,"                €1,600 per month            ",75 m²
Apartment Zandhofsestraat,            3572 GH Utrecht (Wittevrouwen)        ,"                €1,000 per month            ",36 m²
House Meerssenerweg,            6224 AE Maastricht (Wyckerpoort)        ,                €625 per month            ,45 m²
House Brusselsestraat,            6211 PD Maastricht (Statenkwartier)        ,                €835 per month            ,32 m²
House Capucijnenstraat,            6211 RR Maastricht (Statenkwartier)        ,                €545 per month            ,38 m²
House Meerssenerweg,            6224 AE Maastricht (Wyckerpoort)        ,                €690 per month            ,50 m²
Apartment Amer,            5704 EA Helmond (Brouwhuis-West)        ,"                €1,050 per month            ",71 m²
House Waterstraat,            4811 WZ Breda (City)        ,                €700 per month            ,40 m²
Apartment Koekoekstraat 55 A,            3514 CT Utrecht (Vogelenbuurt)        ,"                €1,051 per month            ",34 m²
Apartment Gloriantdreef,            3562 KX Utrecht (Zamenhofdreef en omgeving)        ,                €465 per month            ,27 m²
Apartment Oude Waal,            1011 BZ Amsterdam (Nieuwmarkt/Lastage)        ,"                €1,500 per month            ",48 m²
Apartment Oude Waal,            1011 BZ Amsterdam (Nieuwmarkt/Lastage)        ,"                €1,500 per month            ",54 m²
Apartment Faas Wilkesstraat 493,            1095 MD Amsterdam (Zeeburgereiland/Nieuwe Diep)        ,"                €1,795 per month            ",77 m²
House Galgenbergweg 9,            6741 KJ Lunteren (Lunterse Buurtbos)        ,"                €2,300 per month            ",203 m²
Apartment Bennebroekerlaan 93,            2121 GS Bennebroek (Oude Kern Bennebroek)        ,"                €1,250 per month            ",80 m²
Apartment Binnenhof,            1354 KK Almere (De Hoven)        ,"                €1,250 per month            ",72 m²
Apartment Mecklenburgstraat,"            5616 AN Eindhoven (Eliasterrein, Vonderkwartier)        ","                €1,450 per month            ",85 m²
Apartment Prinsengracht 808 D,            1017 JL Amsterdam (De Weteringschans)        ,"                €2,900 per month            ",90 m²
Apartment Pisanostraat 100,            5623 CD Eindhoven (Rapenland)        ,"                €1,295 per month            ",78 m²
House Klein Zundertseweg,            4882 BE Klein Zundert (Klein-Zundert)        ,"                €1,200 per month            ",95 m²
Apartment Karel Doormanlaan,            1215 NS Hilversum (Zeeheldenkwartier)        ,"                €1,475 per month            ",75 m²
House Tuinderswerf,            1355 AW Almere (De Werven)        ,"                €1,550 per month            ",93 m²
Apartment Stationsstraat,            1391 GL Abcoude (Abcoude-Noordoost)        ,"                €1,650 per month            ",125 m²
Apartment Paul Krugerstraat 22 ZW,            2021 XN Haarlem (Nelson Mandelabuurt)        ,"                €1,285 per month            ",63 m²
Room Mathenesserdijk,            3027 AK Rotterdam (Spangen)        ,                €575 per month            ,15 m²
Apartment Loudonstraat 32,            2593 RX Den Haag (Bezuidenhout-Oost)        ,"                €1,495 per month            ",87 m²
Apartment Eerste Boerhaavestraat,            1091 SB Amsterdam (Weesperzijde)        ,"                €3,250 per month            ",105 m²
House Bosstraat 19,            7606 CD Almelo (Boomplaats)        ,                €950 per month            ,90 m²
